AWaypoint,Lat,Lon
ABVON,1.341161111,103.9741667
ADNIK,1.280886111,103.9487222
ADPAX,1.733333333,103.2605556
AGOBA,1.977777778,108.5
AKIPO,1.232297222,103.9281944
AKMON,8.215555556,110.2188889
AKOMA,1.756111111,103.9119444
ANBUS,1.265555556,103.3505556
ANITO,-0.283333333,104.8666667
ANUMA,1.181419444,103.90675
APIPA,1.105119444,103.8745278
ARAMA,1.615,103.12
AROSO,2.146111111,103.4058333
ARUPA,0.527777778,108.8127778
ASISU,5.985,113.3461111
ASUNA,0.996666667,103.165
ATETI,1.427777778,108.5
ATKAX,0.086666667,106.9961111
ATPOM,0.406944444,105.3538889
BASIX,1.167222222,103.4152778
BATOT,1.325083333,104.0009722
BAVAL,0.755,104.045
BAVUS,0,109
BEKTA,1.264327778,103.9753333
BELAT,1.215769444,103.9548333
BIDAG,7.516944444,113.9288889
BIDUS,1.598347222,103.9652222
BIGMO,1.191413889,103.9445556
BIKTA,2.726944444,103.7188889
BIPOP,1.522730556,104.1716667
BITEP,1.088613889,103.9011667
BOBAG,1.041666667,103.4983333
BOBOB,2.368333333,107.0994444
BOKIP,1.0725,103.7313889
BONSU,1.324444444,103.6194444
BUNTO,2.668888889,105.9980556
BUVAL,3.606111111,103.7280556
DAMOG,4.206944444,105.0038889
DOBLU,1.063055556,104.2208333
DOKTA,1.435,104.1777778
DOLOX,4.811388889,105.3797222
DOSNO,0.799166667,104.2358333
DOVAN,1.327222222,104.2136111
DOVOL,3.513055556,103.8230556
DUBSA,3.816944444,104.7611111
DUDIS,7,106.8094444
DUNAL,1.027222222,103.9688889
EGOLO,3.326111111,104.0130556
EGORA,1.605936111,104.102
ELALU,1.577741667,104.0900556
ELBEB,1.479072222,104.0484167
ELGOR,3.503888889,105.805
ELMIN,1.430466667,104.0279167
ENREP,4.873055556,104.245
ESBIT,1.370019444,104.0023889
ESLUX,1.312308333,103.9778889
ESPIT,2.003055556,107.44
ESPOB,7,105.5547222
EXOMO,1.073747222,104.1591944
HOSBA,1.33,104.405
IBULA,0.843333333,104.6
IDMAS,0.816666667,104.3133333
IDSEL,3.408888889,103.9288889
IDUNA,1.384944444,103.9926389
IDURO,1.4444,104.01775
IDVAS,1.492961111,104.03825
IGARI,6.936111111,103.585
IGNON,1.146388889,104.2158333
IGULA,1.542297222,104.0590556
IKAGO,0.637777778,105.4919444
IKIMA,0.720555556,104.9166667
IKUKO,5.753333333,103.2233333
IKUMI,5.893888889,103.9191667
IPNAK,1.619980556,104.0918889
IPRIX,7,104.1319444
KADAR,-0.113055556,107.7283333
KAMIN,2.578888889,108.9269444
KARTO,1.19,105.5619444
KETOD,3.178888889,104.1619444
KEXAS,1.171944444,104.805
KIBOL,2.874722222,104.4680556
KILOT,3.038055556,104.6730556
LAGOT,7.275555556,111.5452778
LAGUS,1.320913889,103.9816667
LAPOL,1.439444444,103.7430556
LASIN,1.260625,103.9561944
LAVAX,1.163888889,104.4538889
LAXOR,9.826944444,114.8080556
LEBIN,3.243888889,106.1011111
LEGOL,1.348055556,103.7897222
LELIB,1.458055556,103.4138889
LELON,1.212086111,103.9357222
LENDA,2.69,104.6588889
LEPNA,1.113413889,103.8941111
LIDVA,1.084908333,103.8820278
LIPRO,2.895,105.1911111
LUSMO,3.561388889,106.9261111
LUXOL,1.300758333,103.9731389
MABAL,3.473888889,105.21
MABLI,4.288055556,106.2130556
MAKUM,1.363388889,104.0171389
MANIM,3.241944444,104.0980556
MASBO,2.046666667,102.8808333
MASNI,1.343611111,103.6294444
MELAS,7.088888889,108.1530556
MEMUS,1.424158333,104.0428056
MESOG,2.0175,103.2111111
MILIN,1.472708333,104.0633056
MOLRO,1.496988889,104.0735556
MOSTU,1.599852778,104.1169722
MUMSO,3.738888889,105.5369444
NIMIX,1.414444444,107.9905556
NITAD,1.549166667,104.0316667
NIVAM,2.613888889,104.0411111
NODIN,8.183333333,116.195
NOMAK,1.561113889,104.0668889
NOPAT,4.386944444,104.7988889
NUGSI,1.521666667,104.1066667
NYLON,1.615819444,104.1066111
OBDAB,3.198055556,104.0938889
OBDOS,0.4175,106.9308333
OBGET,1.385277778,106.7586111
OBLOT,1.715555556,106.6963889
ODONO,6.603888889,103.0247222
OLKIT,4.836111111,111.855
OLSAM,2.016388889,106.64
OMBAP,2.521111111,106.545
OMLIV,2.92,106.47
ONAPO,3.354444444,106.3883333
OPULA,3.531944444,106.355
OTLON,3.131111111,104.335
PADLI,3.155,103.5258333
PARDI,-0.566666667,104.2166667
PASPU,1.9875,104.105
PEKLA,2.576944444,104.105
PIBAP,2.506388889,104.105
PIMOK,1.446666667,103.3355556
POSUB,1.456944444,104.13
RAXIM,3.055,104.2869444
REDUK,2.3325,103.0830556
REKOP,1.551666667,103.0891667
REMES,0.728333333,103.9597222
REPOV,0.273055556,104.05
ROBMO,2.911111111,103.95
RUTOT,1.248055556,104.33
SABIP,2.161111111,107.8455556
SABUG,1.265,104.0533333
SAMKO,1.091530556,103.8818889
SANAT,1.130219444,103.9915833
SANAX,1.130219444,103.9915833
SAPAX,1.330627778,103.8995
SUDPO,1.291944444,103.9688889
SUKRI,1.385,102.9844444
SUMLA,8.045,116.015
SUNVA,1.298888889,103.9561111
SURGA,-0.615833333,106.5219444
SUSAR,3.98,105.2630556
SUSIN,1.208055556,103.9688889
TAROS,0.7,102.2686111
TAXUL,3.843055556,103.6769444
TEGID,8.948888889,115.8619444
TERIX,4.255833333,109.5822222
TIDAR,6.875,102.8333333
TODAM,6.527222222,112.5933333
TOKIM,1.4925,104.0541667
TOMAN,1.363055556,105.7880556
TOPOM,1.498611111,104.0408333
TOPOR,1.736666667,102.8916667
UDONI,0.805,104.135
UGPEK,3.613055556,104.1311111
UKASA,2.879166667,103.6502778
UPRON,6.150833333,103.3444444
URIGO,3.418055556,104.1130556
VENIX,-0.365555556,106.0891667
VENLI,6.48,102.8166667
VENPA,0.361388889,104.8319444
VEPLI,3.873055556,104.095
VERIN,2.558888889,106.4069444
VIDAX,1.456527778,104.0227222
VINIK,8.641666667,116.23
VINIL,2.916666667,104.105
VISAT,3.438888889,104.5261111
VMR,2.388333333,103.8716667
SAKIN,1.199166667,104.0436111
SULUG,1.259166667,104.0725
VPK,3.383055556,103.4233333
AGVAR,1.788611111,103.6958333
AKMET,1.898611111,103.7275
SABKA,1.8475,103.2869444
JAYBEE,1.5,103.7116667
BIPAL,1.552222222,104.0647222
SADET,1.280833333,103.9488889
KIKOR,-0.378888889,107.09
ALFA,1.509166667,103.8283333
BTM,1.136944444,104.1327778
JB,1.5,103.7116667
KK,1.521666667,103.99
SJ,1.2225,103.8541667
VJB,1.664,103.6608889
VTK,1.415277778,104.0222222
NE,-0.482997222,104.5759722
AGSAM,11.4717,112.5882778
ALDAS,10.9483,112.205
AM,20.9889,105.8613889
ANINA,13.9833,107.4166944
ANOKI,12.3667,113.25
ANRAN,11.3617,107.0482778
ASSAD,18.3411,107.6813889
BALOV,20.1297,107.7085833
BAOMY,10.8633,107.3382778
BAVEN,10.0747,104.5955833
BIBAN,8.5,105
BITIS,10.2664,106.2482778
BITOD,7.2567,104.1182778
BK,20.8014,106.6580833
BOMPA,14.3333,107.4
BQ,21.215,104.0380833
BU,12.6703,108.0421944
BUNTA,16.8333,109.395
CAMPU,10.5,104.1410833
CS,8.7297,106.6318889
CT,10.0914,105.7302778
DAGAG,9.4633,108.4416944
DALBA,14.5667,111.925
DAMEL,13.9783,111.51
DAMVO,11.1083,109.545
DAN,16.0528,108.1981944
DB,21.3967,103.0107778
DIB,21.3961,103.0043889
DJ,15.9776,108.2075
DL,11.75,108.325
DONDA,14.7,112.0166944
DONGI,17.7119,106.6452778
DOXAR,12.3667,110.3782778
ELSAS,10.1367,107.5482778
EXOTO,15.3583,111.05
HAKAO,21.7324,106.2855833
HALAN,21.0354,105.6457778
HAMIN,17.1297,107.6777778
HATIN,18.4669,107.0488889
ITBAM,16.6667,109.6016944
KAHEO,16.4683,107.9456944
KANGU,16.3542,108.6646944
KANTA,10.3881,106.1068889
KAQUA,10.6783,105.9816944
KARAN,12.6489,109.1566944
KNB,21.2279,105.7830833
KONCO,16.9997,107.2952778
KW,21.2388,105.7456944
LANHI,10.4006,107.1860833
LAOCI,22.4867,103.9652778
LAPON,20.75,104.475
LATHA,10.1417,106.6432778
LAVOS,20.4347,104.3971944
LIBEO,21.2126,105.4602778
LOSON,10.4933,107.0755833
MAPNO,10.2183,110.335
MAREL,19.2281,106.6935833
MC,20.8281,104.7002778
MESOX,13.98,113.045
MIGUG,15.2733,114
MIMUX,11.305,111.1032778
MISAN,10.5033,106.045
MONBO,14.5,113.4282778
MOXON,8.825,109.355
MUGAN,12.3667,111.8716944
NAH,20.3872,106.1177778
NALAO,19.3242,103.9263889
NG,12.2264,109.2010833
NOB,21.213,105.8348889
PB,16.3958,107.7718889
PCA,13.9572,109.0425
PHT,10.9278,108.0702778
PK,14.0067,108.0088889
PQ,10.2236,103.9618889
QL,9.1761,105.1766944
QNGAI,15.1164,108.8002778
RG,9.9497,105.1335833
SAMBO,16.2803,108.7077778
SAMOG,8.0017,103.24
SAPEN,11.02,106.1832778
SG,10.8549,106.7522778
TAMKY,15.595,108.4952778
TANAM,8.5,104.0452778
TANNA,15.9033,107.6588889
TD,10.8581,106.7510833
TEBAK,22.175,106.675
TONGA,21.6147,105.2635
TSN,10.8164,106.6455833
VEPAM,13.9667,110
VIN,18.7341,105.6683889
VINHA,20.9829,105.1655
VITRA,20.5882,106.0895833
XONAN,9.245,102.8388889
XONUS,18.07,107.2330833
XW,18.7903,105.6671944
ABTOK,6.305,102.2955556
ADGAB,3.095555556,112.6005556
ADNUT,3.359166667,102.6272222
AGOSA,3.144722222,101.2191667
AGPOP,2.178055556,111.2236111
AGSON,2.25,114.8566667
AGUPO,4.593611111,112.8666667
ALEKA,2.516444444,112.6675
ALEMO,2.7625,113.5722222
ANDOK,6.022222222,100
ANIPU,1.028333333,111.4569444
ANIRU,5.153055556,113.0572222
ANOKO,7.136111111,94.41611111
ANSAX,6,95.50805556
ANSOM,4.073333333,101.5386111
ARAVI,5.598611111,117.1136111
BATAR,2.166666667,102.0869444
BAXAL,4.038888889,117.9761111
BENLI,2.786388889,112.8138889
BILIK,3.345277778,101.1275
BOMPO,4.85,112.9525
BOSTI,5.849722222,97.3325
BUTAX,4.436944444,114.8755556
DAKUS,3.803888889,101.3175
DALAN,6.468888889,99.65555556
DAMAL,2.331944444,103.0866667
DARMU,4.0275,112.6766667
DOGOG,5.421666667,114.1283333
DOVOX,5.598611111,100.6502778
DUBAX,6.43,100.1302778
DUKUN,7.648888889,97.51916667
DUMOK,2.299166667,102.0041667
EMRAN,8.575,94.41666667
ENKOL,2.372777778,102.3044444
GEMAS,2.533333333,102.5305556
GIVAL,7,98
GOBAS,3.356388889,100.9561111
GOLUD,6.285,102.2766667
GOMAT,5.953333333,99.93888889
GONAD,2.860555556,112.0891667
GOTLA,4.291388889,99.33222222
GULIB,4.287222222,111.1091667
GUNBO,4.865555556,102.8313889
GUNIP,4.498055556,99.53055556
GUPTA,2.163333333,102.6416667
MAMOK,4.085,115.7866667
IDKUT,8.004722222,95.50472222
MAPSO,8.058333333,97.21555556
IGEBO,6.235833333,95.08083333
IGOGU,7.516944444,94.41666667
MATSU,3.437222222,102.1038889
IGREX,9.724444444,94.41666667
MEKAR,6.503888889,96.49111111
MINAT,8.771666667,96.02527778
INTOT,3.006944444,101.1352778
MULOT,6.161666667,99.97666667
IRMEN,4.668888889,117.1152778
NILAM,6.756388889,95.97638889
ISTAN,3.015277778,102.4813889
KABDU,6.556111111,116.5533333
KADAX,6.265555556,102.2616667
NOPEK,6.603888889,94.41666667
KADMO,4.204166667,114.1355556
OGAKO,1.980555556,102.4355556
KAMUM,1.559722222,111.3208333
OKADA,1.566666667,112.6333333
KARMI,6.494444444,100.5225
OKTOG,2.063611111,109.5836111
KASRI,2.054722222,102.8869444
OSANU,7.69,117.2933333
KEVOX,3.44,113.5972222
OSTAN,5.445833333,116.64
KIMAT,3.162222222,102.3505556
PADLO,5.964444444,114.0238889
KUDAT,6.908333333,116.8333333
PAPDA,5.824722222,100.7536111
LATIL,4.894444444,116.4469444
PAPSA,1.199166667,100.1416667
LATUK,2.921111111,102.5627778
PASVA,6.258055556,102.0752778
LEDAM,4.863611111,113.785
LEKIR,7.275555556,96.87861111
PIBOS,3.351666667,102.0544444
PILAX,2.313888889,111.3905556
POPID,6.488888889,100.5366667
POVUS,6,94.66611111
PUGER,3.399722222,100.2919444
PULIP,3.673333333,101.8966667
REKAN,2.2,111.2388889
REKOS,5.142222222,115.7022222
RIZAN,3.020833333,112.29
RUMID,2.337777778,101.6075
RUSET,7.771111111,97.71583333
SAGEL,6.29,100
SAKMA,4.407777778,113.6652778
SALAX,2.206666667,101.5619444
SAMAK,7.978333333,94.41666667
SANOB,6.586111111,95.66916667
SAPAM,8.076111111,97.55
SAPAT,2.536111111,102.0416667
SAROX,2.800555556,102.6719444
SARVO,3.441666667,112.8361111
SUKAT,3.590277778,101.02
TAMOS,6.529444444,100.3947222
TASEK,5.258055556,98.29888889
TEPUS,4.170277778,100.7591667
TERUS,2.026388889,103.2191667
TOSOK,5.999722222,96.99916667
TOMUD,5.903611111,117.0522222
UDERO,3.930555556,114.4944444
UKIBA,5.313611111,115.0358333
VAMPI,6.182222222,97.58555556
VIDIP,5.685,115.1675
VILAT,5.891111111,100.0991667
VIMAG,6.026666667,118.5433333
VISED,5.462777778,117.1875
VBU,3.153888889,113.0133333
BRU,4.875,114.8816667
VJN,5.89925,116.0339722
VKG,1.47275,110.3119167
VLB,5.29,115.2517222
VLG,4.797222222,115.0022222
MYY,4.299722222,113.9763889
VMI,4.337777778,113.9941667
VSN,5.903783333,118.0748611
VZU,4.032777778,114.7952778
VSI,2.246805556,112.0033889
VTW,4.324444444,118.14
ADNEP,8.062083333,101.0550556
AGEDO,13.40538889,102.3607222
AKATO,13.62098056,99.17197222
ALBOS,14.74491667,101.0283056
ALUMO,10.76496944,101.8563333
ANBOK,18.60961111,101.2132222
ANOBO,11.05639167,102.2448889
APRIL,11.00186111,99.71852778
BASIT,9.57985,102.3522222
BATOK,13.935,101.8982222
BEKOD,16.35477778,99.77677778
BENSA,10.44194444,102.4415278
BETNO,15.09819444,98.20866667
BIDEM,14.36488056,103.7972222
BISOR,12.35180556,102.7798056
BOKAK,12.96008333,102.4964722
BOMAS,17.38466667,98.09697222
BUTRA,15.41827778,105.5960833
DELTA,17.34305556,100.9349444
DIRAX,11.00186111,100.54675
DUGON,8.023547222,102.0968056
EKAVO,11.62680556,99.50686111
EMELA,10.21366389,101.12475
GOMES,13.40169444,101.5849167
GRASO,15.11396667,103.788
HOTEL,13.00172222,100.3300833
IDAGA,11.00188889,100.8966944
IKULA,10.00191667,97.35388889
LIMLA,15.76813889,98.59694444
MACHI,19.20619444,98.58519444
MAKAS,16.82972222,98.49691667
MENAM,13.95669444,102.7914444
MENEX,11.14186111,99.76183333
MOCHI,14.60090556,101.6596944
MUBAN,8.911352778,101.4978056
NOBER,15.27655556,100.6683333
OKENA,16.26894167,104.42575
OSUKA,14.71491667,99.71347222
PADET,10.00191667,98.28869444
PASAT,14.91886944,103.79125
POLAK,13.35169444,100.5817222
PONUK,20.31613889,100.3849444
RAMBU,15.06423333,103.3878611
RAMEI,15.01765833,102.9946389
RECNO,8.573694444,99.47358333
REGOS,12.00180556,100.58175
RELIP,8.075416667,100.4384722
SELKA,14.35997222,101.9965278
SUPIN,8.576263889,101.0720278
SUPOJ,10.27837222,100.2056389
SURIX,10.99974444,101.8373611
SUWAN,8.055416667,101.3383333
TANEK,14.05161111,98.97191667
TATEL,17.48466667,98.76355556
TAVUN,10,96.55333333
TIKAL,8.03875,101.7466389
TOMIP,19.18458333,101.2631944
TONIK,9.293366667,101.9851944
TOPER,14.58497222,102.7297778
UKERA,12.03534722,100.0193056
UPNEP,9.703638889,100.4934444
UTHAI,7.002138889,99.49691667
UTTAR,17.71802778,100.4516667
VUTHI,14.83526389,99.95702778
YAKUA,17.73744167,101.5143333
TPG,0.903611111,104.5144444
PU,1.423333333,103.9333333
VKB,6.163,102.314
VKL,2.724,101.738
MITOS,1.975,102.102
VPG,5.279,100.26
PEKAN,3.383,103.423
PEKANBARU,0.533,101.45
HTY,6.1,100.387
PALEMBANG,-2.9,104.7
PALDI,3.155,103.525
PULAU,2.916,104.11
KINABALU,5.899,116.033
LABUAN,5.29,115.251
BRUNEI,4.875,114.881
BINTULU,3.153,113.013
SIBU,2.246,112.003
KUCHING,1.472,110.311
PONTIANAK,-0.07,109.375
MIRI,4.337,113.994
OMEGA,-0.38,111.12
VELPI,3.873,104.095
MALBI,4.288,106.213
ANHOA,9.787,105.908
CONSON,8.732,106.626
APARI,-2.04,107.84
RUSMA,-1.36,107.369
PR,9.741,118.752
GUGIT,5.542,102.562
NOBEN,12.78,116.74
TUNPO,10.06,104.589
TOKON,11.7,119.674
DAGAK,9.463,108.441
VAVUM,11.49,114.765
TAMIB,3.02,112.29
WIDIA,-0.87,108.887
LAWIB,-1.01,109.1
GUVIL,-7.28,105.243
ADBOP,8.5,104.083
KERTEH,4.537,103.428
VKN,3.776,103.21
YUANA,-0.63,108.515
IPDOL,4.853055556,103.9888889
KEXOL,4.658333333,104.1616667
ELALO,4.211111111,104.5580556
ESBUM,4.869444444,104.475
PU90,2.894722222,103.6433333
PU20,1.758333333,103.97
UDONO,,